huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
30.6,2.45,25.9,1.87,32.36,2.1,50.25,1.88,33.58,1.88,P
48.8,3.78,59.47,3.17,26.14,2.24,36.01,1.63,11.65,2.0,P
49.12,3.59,60.95,2.99,26.35,2.0,37.29,1.81,10.39,2.03,P
26.92,2.73,31.54,2.01,19.1,1.59,26.68,1.35,13.21,1.23,P
27.07,2.66,31.95,1.87,18.8,1.51,26.38,1.33,12.52,1.16,P
27.57,2.67,31.6,2.12,18.92,1.52,30.42,1.58,12.46,1.46,P
18.55,2.12,21.08,1.41,18.19,1.3,25.97,1.17,11.26,1.57,P
18.46,1.79,21.12,1.47,18.83,1.21,26.33,1.05,11.41,1.56,P
47.17,3.96,56.57,2.87,33.6,2.68,50.66,2.49,32.03,2.06,P
44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6,P
31.72,2.64,40.0,1.99,20.36,1.59,32.21,1.62,17.72,1.52,P
33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29,P
45.57,4.64,57.13,2.93,28.32,2.26,36.95,1.96,19.75,2.16,P
46.38,3.41,39.8,3.48,54.67,4.08,85.88,4.04,63.75,3.09,P
43.97,3.54,38.38,3.14,52.49,4.25,83.15,4.12,61.08,3.04,P
41.3,3.44,56.2,2.72,36.7,2.69,62.6,2.52,37.91,2.21,P
19.76,1.43,22.85,1.19,16.33,1.27,24.41,0.99,14.89,0.94,P
9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23,P
27.55,2.35,32.32,1.75,22.54,1.84,33.32,1.61,20.52,1.5,P
37.86,3.24,46.72,2.63,27.52,2.26,42.49,1.89,26.88,1.54,P
44.18,3.88,50.72,3.49,39.58,3.9,50.89,3.61,35.14,2.82,P
20.36,2.03,23.45,1.79,16.93,1.87,25.01,1.59,15.49,1.54,P
41.9,4.04,56.8,3.32,37.3,3.29,63.2,3.12,38.51,2.81,P
41.6,3.74,56.5,3.02,37.0,2.99,62.9,2.82,38.21,2.51,P
20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24,P
27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8,P
29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7,P
27.72,2.67,32.0,2.21,22.68,2.13,32.5,1.76,19.65,1.64,P
39.98,3.34,47.5,2.64,28.57,2.53,42.96,2.2,27.66,1.67,P
29.81,2.59,35.05,2.28,21.48,2.11,31.89,1.84,21.67,1.52,P
28.55,2.65,33.74,2.38,19.56,1.98,29.21,1.64,18.75,1.53,P
36.88,3.18,46.28,2.77,26.08,2.19,39.44,2.03,25.6,1.98,P
34.15,2.98,40.67,2.45,24.72,1.98,37.35,1.93,23.49,1.67,P
33.79,3.04,42.13,2.56,23.09,2.21,34.74,2.07,22.12,1.78,P
34.07,3.26,41.34,2.62,24.25,2.3,36.35,2.13,24.69,2.12,P
31.28,2.83,36.88,2.2,22.3,2.1,32.6,1.68,20.47,1.54,P
41.36,3.52,49.34,2.83,30.97,2.46,44.31,2.43,29.97,2.05,P
30.51,2.69,35.33,2.29,21.9,2.04,32.26,1.65,22.52,1.43,P
28.15,2.95,32.92,2.35,23.14,2.44,33.92,2.21,21.12,2.1,P
28.84,2.45,32.61,1.86,22.83,1.81,33.59,1.5,20.56,1.4,P
29.51,2.29,34.75,1.98,21.18,1.81,31.59,1.54,21.37,1.22,P
44.17,3.94,55.47,3.13,38.27,2.76,52.5,2.52,18.27,3.3,P
9.55,2.58,14.43,1.43,15.97,0.92,20.59,0.95,7.47,0.93,P
31.42,2.34,39.7,1.69,20.06,1.29,31.91,1.32,17.42,1.22,P
33.51,2.5,42.52,1.92,18.58,1.15,25.98,1.01,14.15,0.99,P
45.27,4.34,56.83,2.63,28.02,1.96,36.65,1.66,19.45,1.86,P
46.08,3.11,39.5,3.18,54.37,3.78,85.58,3.74,63.45,2.79,P
43.67,3.24,38.08,2.84,52.19,3.95,82.85,3.82,60.78,2.74,P
18.16,1.49,20.82,1.17,18.53,0.91,26.03,0.75,11.11,1.26,P
45.3,3.05,38.43,3.22,54.15,3.8,83.29,3.42,63.61,2.37,P
29.95,1.99,24.84,1.57,31.31,1.88,50.68,1.7,33.2,1.63,P
30.3,2.15,25.6,1.57,32.06,1.8,49.95,1.58,33.28,1.58,P
28.96,2.36,27.33,1.93,27.57,1.73,38.6,1.51,24.92,1.32,P
45.6,3.35,38.73,3.52,54.45,4.1,83.59,3.72,63.91,2.67,P
42.52,2.99,36.73,2.91,52.24,3.81,81.57,3.71,61.27,2.71,P
30.25,2.29,25.14,1.87,31.61,2.18,50.98,2.0,33.5,1.93,P
29.26,2.66,27.63,2.23,27.87,2.03,38.9,1.81,25.22,1.62,P
42.22,2.69,36.43,2.61,51.94,3.51,81.27,3.41,60.97,2.41,P
27.42,2.37,31.7,1.91,22.38,1.83,32.2,1.46,19.35,1.34,P
18.25,1.82,20.78,1.11,17.89,1.0,25.67,0.87,10.96,1.27,P
26.77,2.36,31.65,1.57,18.5,1.21,26.08,1.03,12.22,0.86,P
30.21,2.39,35.03,1.99,21.6,1.74,31.96,1.35,22.22,1.13,P
28.25,2.35,33.44,2.08,19.26,1.68,28.91,1.34,18.45,1.23,P
36.58,2.88,45.98,2.47,25.78,1.89,39.14,1.73,25.3,1.68,P
33.85,2.68,40.37,2.15,24.42,1.68,37.05,1.63,23.19,1.37,P
33.49,2.74,41.83,2.26,22.79,1.91,34.44,1.77,21.82,1.48,P
33.77,2.96,41.04,2.32,23.95,2.0,36.05,1.83,24.39,1.82,P
30.98,2.53,36.58,1.9,22.0,1.8,32.3,1.38,20.17,1.24,P
27.27,2.37,31.3,1.82,18.62,1.22,30.12,1.28,12.16,1.16,P
41.36,3.26,48.52,2.5,31.64,2.22,45.89,2.01,30.43,1.65,P
43.88,3.58,50.42,3.19,39.28,3.6,50.59,3.31,34.84,2.52,P
39.68,3.04,47.2,2.34,28.27,2.23,42.66,1.9,27.36,1.37,P
37.56,2.94,46.42,2.33,27.22,1.96,42.19,1.59,26.58,1.24,P
46.87,3.66,56.27,2.57,33.3,2.38,50.36,2.19,31.73,1.76,P
48.5,3.48,59.17,2.87,25.84,1.94,35.71,1.33,11.35,1.7,P
48.82,3.29,60.65,2.69,26.05,1.7,36.99,1.51,10.09,1.73,P
26.62,2.43,31.24,1.71,18.8,1.29,26.38,1.05,12.91,0.93,P
41.06,3.22,49.04,2.53,30.67,2.16,44.01,2.13,29.67,1.75,P
29.44,3.05,33.21,2.46,23.43,2.41,34.19,2.1,21.16,2.0,P
41.66,3.56,48.82,2.8,31.94,2.52,46.19,2.31,30.73,1.95,P
30.11,2.89,35.35,2.58,21.78,2.41,32.19,2.14,21.97,1.82,P
27.22,3.03,31.84,2.31,19.4,1.89,26.98,1.65,13.51,1.53,P
27.37,2.96,32.25,2.17,19.1,1.81,26.68,1.63,12.82,1.46,P
27.87,2.97,31.9,2.42,19.22,1.82,30.72,1.88,12.76,1.76,P
18.85,2.42,21.38,1.71,18.49,1.6,26.27,1.47,11.56,1.87,P
18.76,2.09,21.42,1.77,19.13,1.51,26.63,1.35,11.71,1.86,P
44.77,4.54,56.07,3.73,38.87,3.36,53.1,3.12,18.87,3.9,P
10.15,3.18,15.03,2.03,16.57,1.52,21.19,1.55,8.07,1.53,P
32.02,2.94,40.3,2.29,20.66,1.89,32.51,1.92,18.02,1.82,P
34.11,3.1,43.12,2.52,19.18,1.75,26.58,1.61,14.75,1.59,P
45.87,4.94,57.43,3.23,28.62,2.56,37.25,2.26,20.05,2.46,P
46.68,3.71,40.1,3.78,54.97,4.38,86.18,4.34,64.05,3.39,P
44.27,3.84,38.68,3.44,52.79,4.55,83.45,4.42,61.38,3.34,P
45.9,3.65,39.03,3.82,54.75,4.4,83.89,4.02,64.21,2.97,P
42.82,3.29,37.03,3.21,52.54,4.11,81.87,4.01,61.57,3.01,P
30.55,2.59,25.44,2.17,31.91,2.48,51.28,2.3,33.8,2.23,P
30.9,2.75,26.2,2.17,32.66,2.4,50.55,2.18,33.88,2.18,P
28.02,2.97,32.3,2.51,22.98,2.43,32.8,2.06,19.95,1.94,P
49.42,3.89,61.25,3.29,26.65,2.3,37.59,2.11,10.69,2.33,P
49.1,4.08,59.77,3.47,26.44,2.54,36.31,1.93,11.95,2.3,P
29.56,2.96,27.93,2.53,28.17,2.33,39.2,2.11,25.52,1.92,P
38.16,3.54,47.02,2.93,27.82,2.56,42.79,2.19,27.18,1.84,P
47.47,4.26,56.87,3.17,33.9,2.98,50.96,2.79,32.33,2.36,P
30.81,2.99,35.63,2.59,22.2,2.34,32.56,1.95,22.82,1.73,P
28.85,2.95,34.04,2.68,19.86,2.28,29.51,1.94,19.05,1.83,P
34.45,3.28,40.97,2.75,25.02,2.28,37.65,2.23,23.79,1.97,P
34.09,3.34,42.43,2.86,23.39,2.51,35.04,2.37,22.42,2.08,P
34.37,3.56,41.64,2.92,24.55,2.6,36.65,2.43,24.99,2.42,P
37.18,3.48,46.58,3.07,26.38,2.49,39.74,2.33,25.9,2.28,P
41.96,3.86,49.12,3.1,32.24,2.82,46.49,2.61,31.03,2.25,P
41.66,3.82,49.64,3.13,31.27,2.76,44.61,2.73,30.27,2.35,P
40.28,3.64,47.8,2.94,28.87,2.83,43.26,2.5,27.96,1.97,P
44.48,4.18,51.02,3.79,39.88,4.2,51.19,3.91,35.44,3.12,P
31.58,3.13,37.18,2.5,22.6,2.4,32.9,1.98,20.77,1.84,P
116.85,7.43,134.8,6.19,73.51,6.1,112.66,5.94,61.25,6.9,R
119.58,8.04,138.39,6.25,76.36,6.5,115.9,6.07,59.9,6.92,R
126.88,8.01,148.47,6.59,81.42,6.71,124.05,6.58,64.57,7.97,R
47.16,2.82,55.41,2.37,34.58,2.47,53.22,2.29,33.77,2.51,R
44.91,2.54,48.45,2.14,34.87,2.48,50.87,2.27,29.8,2.7,R
111.17,8.56,129.35,7.08,81.1,8.28,112.66,7.48,84.99,7.41,R
61.6,3.42,66.26,2.59,37.04,2.84,63.03,2.87,44.51,2.43,R
94.03,5.88,104.09,4.32,56.76,4.98,96.6,4.87,68.65,4.4,R
90.13,5.92,104.28,4.4,54.55,4.65,94.99,4.42,67.55,4.14,R
96.46,5.71,111.85,4.2,59.82,4.65,99.16,4.56,73.95,4.29,R
93.37,5.33,102.65,3.9,58.55,4.62,101.24,4.57,71.3,4.38,R
99.69,6.09,111.0,4.26,60.84,4.75,104.72,4.92,71.23,4.21,R
117.43,7.13,136.26,5.51,75.54,5.85,115.3,5.45,59.45,8.25,R
34.84,2.44,40.68,2.04,38.43,2.54,42.48,2.45,20.07,3.15,R
33.12,2.4,39.85,1.8,27.46,2.19,38.99,2.15,19.1,2.89,R
35.63,2.4,42.67,2.02,28.51,2.41,42.64,2.46,21.05,3.12,R
54.77,4.67,63.59,3.62,48.13,3.75,64.55,3.45,55.27,3.16,R
62.79,5.05,69.96,4.29,57.6,4.9,77.9,4.56,60.61,4.16,R
53.18,4.77,62.32,4.06,47.39,3.94,63.72,3.7,54.84,3.2,R
100.29,6.33,112.19,4.69,59.71,4.94,102.54,5.33,71.03,4.95,R
119.12,7.57,137.37,6.06,75.53,6.35,115.02,6.22,60.99,7.91,R
42.46,3.49,47.34,3.27,36.03,2.94,49.17,2.68,34.38,2.25,R
57.41,3.82,70.39,3.08,39.7,3.37,66.58,3.33,46.81,2.78,R
121.59,8.17,148.52,6.44,89.67,7.63,116.71,6.87,83.28,6.8,R
98.94,7.13,119.72,5.6,74.17,6.3,106.5,5.8,83.13,5.86,R
89.05,6.28,102.09,5.37,70.32,5.9,96.12,5.7,75.05,5.12,R
89.63,6.44,104.11,5.26,72.24,6.32,97.78,5.81,76.76,5.29,R
83.13,5.8,95.42,4.4,66.98,5.14,90.6,4.95,75.64,4.56,R
81.39,5.77,94.83,4.8,65.97,5.52,91.63,5.38,73.29,5.11,R
108.37,7.49,129.39,6.0,82.29,6.74,113.39,6.38,86.05,6.15,R
117.67,9.55,136.82,7.3,87.79,9.22,119.47,8.19,86.91,7.66,R
130.06,9.51,155.0,7.18,94.79,8.64,125.53,7.87,53.83,7.89,R
116.41,6.85,131.0,5.8,75.36,6.55,119.87,6.1,99.72,6.06,R
107.06,8.62,129.08,6.48,71.03,6.87,100.06,6.1,68.64,5.87,R
120.0,8.38,130.0,6.41,89.93,8.46,116.17,7.52,84.18,6.97,R
85.45,6.16,99.32,4.81,53.01,4.27,69.15,4.21,37.61,5.47,R
83.02,5.95,96.97,4.38,51.87,4.21,66.6,4.06,36.6,5.63,R
71.97,6.18,84.68,5.14,63.79,5.43,82.93,4.63,52.71,4.72,R
82.58,7.32,97.52,6.19,71.37,6.3,91.66,5.65,56.93,5.99,R
45.37,3.72,51.37,3.16,39.02,2.99,53.23,2.68,38.07,2.29,R
41.65,3.62,46.01,3.03,38.37,2.85,48.11,2.55,35.49,2.22,R
145.0,10.37,188.0,7.92,77.09,7.75,125.48,7.9,51.99,9.64,R
142.0,9.6,82.0,7.31,77.96,7.03,124.98,7.05,51.82,8.26,R
145.0,10.31,188.0,7.85,78.86,7.72,126.54,7.13,53.64,8.88,R
50.78,3.15,62.89,2.69,36.32,2.84,62.53,2.75,44.08,2.61,R
102.65,7.31,118.97,6.02,79.05,7.19,104.31,6.42,80.4,6.4,R
41.95,3.92,46.31,3.33,38.67,3.15,48.41,2.85,35.79,2.52,R
81.69,6.07,95.13,5.1,66.27,5.82,91.93,5.68,73.59,5.41,R
127.18,8.31,148.77,6.89,81.72,7.01,124.35,6.88,64.87,8.27,R
47.46,3.12,55.71,2.67,34.88,2.77,53.52,2.59,34.07,2.81,R
45.21,2.84,48.75,2.44,35.17,2.78,51.17,2.57,30.1,3.0,R
61.9,3.72,66.56,2.89,37.34,3.14,63.33,3.17,44.81,2.73,R
94.33,6.18,104.39,4.62,57.06,5.28,96.9,5.17,68.95,4.7,R
90.43,6.22,104.58,4.7,54.85,4.95,95.29,4.72,67.85,4.44,R
100.59,6.63,112.49,4.99,60.01,5.24,102.84,5.63,71.33,5.25,R
96.76,6.01,112.15,4.5,60.12,4.95,99.46,4.86,74.25,4.59,R
93.67,5.63,102.95,4.2,58.85,4.92,101.54,4.87,71.6,4.68,R
119.88,8.34,138.69,6.55,76.66,6.8,116.2,6.37,60.2,7.22,R
99.99,6.39,111.3,4.56,61.14,5.05,105.02,5.22,71.53,4.51,R
33.42,2.7,40.15,2.1,27.76,2.49,39.29,2.45,19.4,3.19,R
35.93,2.7,42.97,2.32,28.81,2.71,42.94,2.76,21.35,3.42,R
102.35,7.01,118.67,5.72,78.75,6.89,104.01,6.12,80.1,6.1,R
110.57,7.96,128.75,6.48,80.5,7.68,112.06,6.88,84.39,6.81,R
52.58,4.17,61.72,3.46,46.79,3.34,63.12,3.1,54.24,2.6,R
57.26,4.03,66.85,3.24,54.89,3.91,74.73,3.41,59.03,2.99,R
54.17,4.07,62.99,3.02,47.53,3.15,63.95,2.85,54.67,2.56,R
62.19,4.45,69.36,3.69,57.0,4.3,77.3,3.96,60.01,3.56,R
57.18,4.44,68.76,3.78,57.26,4.5,79.86,3.95,60.24,3.48,R
35.14,2.74,40.98,2.34,38.73,2.84,42.78,2.75,20.37,3.45,R
108.67,7.79,129.69,6.3,82.59,7.04,113.69,6.68,86.35,6.45,R
117.15,7.73,135.1,6.49,73.81,6.4,112.96,6.24,61.55,7.2,R
119.42,7.87,137.67,6.36,75.83,6.65,115.32,6.52,61.29,8.21,R
83.43,6.1,95.72,4.7,67.28,5.44,90.9,5.25,75.94,4.86,R
89.93,6.74,104.41,5.56,72.54,6.62,98.08,6.11,77.06,5.59,R
89.35,6.58,102.39,5.67,70.62,6.2,96.42,6.0,75.35,5.42,R
99.24,7.43,120.02,5.9,74.47,6.6,106.8,6.1,83.43,6.16,R
121.89,8.47,148.82,6.74,89.97,7.93,117.01,7.17,83.58,7.1,R
130.36,9.81,155.3,7.48,95.09,8.94,125.83,8.17,54.13,8.19,R
116.71,7.15,131.3,6.1,75.66,6.85,120.17,6.4,100.02,6.36,R
107.36,8.92,129.38,6.78,71.33,7.17,100.36,6.4,68.94,6.17,R
120.3,8.68,130.3,6.71,90.23,8.76,116.47,7.82,84.48,7.27,R
117.73,7.43,136.56,5.81,75.84,6.15,115.6,5.75,59.75,8.55,R
85.75,6.46,99.62,5.11,53.31,4.57,69.45,4.51,37.91,5.77,R
72.27,6.48,84.98,5.44,64.09,5.73,83.23,4.93,53.01,5.02,R
82.88,7.62,97.82,6.49,71.67,6.6,91.96,5.95,57.23,6.29,R
45.67,4.02,51.67,3.46,39.32,3.29,53.53,2.98,38.37,2.59,R
42.76,3.79,47.64,3.57,36.33,3.24,49.47,2.98,34.68,2.55,R
145.3,10.67,188.3,8.22,77.39,8.05,125.78,8.2,52.29,9.94,R
142.3,9.9,82.3,7.61,78.26,7.33,125.28,7.35,52.12,8.56,R
145.3,10.61,188.3,8.15,79.16,8.02,126.84,7.43,53.94,9.18,R
57.71,4.12,70.69,3.38,40.0,3.67,66.88,3.63,47.11,3.08,R
51.08,3.45,63.19,2.99,36.62,3.14,62.83,3.05,44.38,2.91,R
83.32,6.25,97.27,4.68,52.17,4.51,66.9,4.36,36.9,5.93,R
117.37,9.25,136.52,7.0,87.49,8.92,119.17,7.89,86.61,7.36,R
57.86,4.63,67.45,3.84,55.49,4.51,75.33,4.01,59.63,3.59,R
52.88,4.47,62.02,3.76,47.09,3.64,63.42,3.4,54.54,2.9,R
144.7,10.01,187.7,7.55,78.56,7.42,126.24,6.83,53.34,8.58,R
57.11,3.52,70.09,2.78,39.4,3.07,66.28,3.03,46.51,2.48,R
50.48,2.85,62.59,2.39,36.02,2.54,62.23,2.45,43.78,2.31,R
118.82,7.27,137.07,5.76,75.23,6.05,114.72,5.92,60.69,7.61,R
117.13,6.83,135.96,5.21,75.24,5.55,115.0,5.15,59.15,7.95,R
116.55,7.13,134.5,5.89,73.21,5.8,112.36,5.64,60.95,6.6,R
119.28,7.74,138.09,5.95,76.06,6.2,115.6,5.77,59.6,6.62,R
126.58,7.71,148.17,6.29,81.12,6.41,123.75,6.28,64.27,7.67,R
46.86,2.52,55.11,2.07,34.28,2.17,52.92,1.99,33.47,2.21,R
44.61,2.24,48.15,1.84,34.57,2.18,50.57,1.97,29.5,2.4,R
61.3,3.12,65.96,2.29,36.74,2.54,62.73,2.57,44.21,2.13,R
93.73,5.58,103.79,4.02,56.46,4.68,96.3,4.57,68.35,4.1,R
89.83,5.62,103.98,4.1,54.25,4.35,94.69,4.12,67.25,3.84,R
99.99,6.03,111.89,4.39,59.41,4.64,102.24,5.03,70.73,4.65,R
96.16,5.41,111.55,3.9,59.52,4.35,98.86,4.26,73.65,3.99,R
93.07,5.03,102.35,3.6,58.25,4.32,100.94,4.27,71.0,4.08,R
99.39,5.79,110.7,3.96,60.54,4.45,104.42,4.62,70.93,3.91,R
34.54,2.14,40.38,1.74,38.13,2.24,42.18,2.15,19.77,2.85,R
32.82,2.1,39.55,1.5,27.16,1.89,38.69,1.85,18.8,2.59,R
35.33,2.1,42.37,1.72,28.21,2.11,42.34,2.16,20.75,2.82,R
110.87,8.26,129.05,6.78,80.8,7.98,112.36,7.18,84.69,7.11,R
141.7,9.3,81.7,7.01,77.66,6.73,124.68,6.75,51.52,7.96,R
144.7,10.07,187.7,7.62,76.79,7.45,125.18,7.6,51.69,9.34,R
57.78,5.04,69.36,4.38,57.86,5.1,80.46,4.55,60.84,4.08,R
41.35,3.32,45.71,2.73,38.07,2.55,47.81,2.25,35.19,1.92,R
42.16,3.19,47.04,2.97,35.73,2.64,48.87,2.38,34.08,1.95,R
57.56,4.33,67.15,3.54,55.19,4.21,75.03,3.71,59.33,3.29,R
54.47,4.37,63.29,3.32,47.83,3.45,64.25,3.15,54.97,2.86,R
62.49,4.75,69.66,3.99,57.3,4.6,77.6,4.26,60.31,3.86,R
57.48,4.74,69.06,4.08,57.56,4.8,80.16,4.25,60.54,3.78,R
117.07,8.95,136.22,6.7,87.19,8.62,118.87,7.59,86.31,7.06,R
108.07,7.19,129.09,5.7,81.99,6.44,113.09,6.08,85.75,5.85,R
81.09,5.47,94.53,4.5,65.67,5.22,91.33,5.08,72.99,4.81,R
82.83,5.5,95.12,4.1,66.68,4.84,90.3,4.65,75.34,4.26,R
89.33,6.14,103.81,4.96,71.94,6.02,97.48,5.51,76.46,4.99,R
88.75,5.98,101.79,5.07,70.02,5.6,95.82,5.4,74.75,4.82,R
102.05,6.71,118.37,5.42,78.45,6.59,103.71,5.82,79.8,5.8,R
121.29,7.87,148.22,6.14,89.37,7.33,116.41,6.57,82.98,6.5,R
129.76,9.21,154.7,6.88,94.49,8.34,125.23,7.57,53.53,7.59,R
116.11,6.55,130.7,5.5,75.06,6.25,119.57,5.8,99.42,5.76,R
106.76,8.32,128.78,6.18,70.73,6.57,99.76,5.8,68.34,5.57,R
119.7,8.08,129.7,6.11,89.63,8.16,115.87,7.22,83.88,6.67,R
85.15,5.86,99.02,4.51,52.71,3.97,68.85,3.91,37.31,5.17,R
82.72,5.65,96.67,4.08,51.57,3.91,66.3,3.76,36.3,5.33,R
71.67,5.88,84.38,4.84,63.49,5.13,82.63,4.33,52.41,4.42,R
98.64,6.83,119.42,5.3,73.87,6.0,106.2,5.5,82.83,5.56,R
45.07,3.42,51.07,2.86,38.72,2.69,52.93,2.38,37.77,1.99,R
82.28,7.02,97.22,5.89,71.07,6.0,91.36,5.35,56.63,5.69,R
14.94,1.1,18.07,0.83,13.45,0.75,25.27,0.61,18.8,0.56,SO
