Fecha;Periodo;Personas
2002;Trimestre 1;2.152,80
2002;Trimestre 2;2.103,30
2002;Trimestre 3;2.195,90
2002;Trimestre 4;2.232,50
2003;Trimestre 1;2.328,50
2003;Trimestre 2;2.215,80
2003;Trimestre 3;2.247,40
2003;Trimestre 4;2.276,60
2004;Trimestre 1;2.309,70
2004;Trimestre 2;2.247,70
2004;Trimestre 3;2.199,90
2004;Trimestre 4;2.176,80
2005;Trimestre 1;2.121,30
2005;Trimestre 2;1.969,20
2005;Trimestre 3;1.783,60
2005;Trimestre 4;1.860,10
2006;Trimestre 1;1.942,90
2006;Trimestre 2;1.834,50
2006;Trimestre 3;1.766,80
2006;Trimestre 4;1.819,50
2007;Trimestre 1;1.863,20
2007;Trimestre 2;1.773,30
2007;Trimestre 3;1.806,10
2007;Trimestre 4;1.942
2008;Trimestre 1;2.190,50
2008;Trimestre 2;2.385,60
2008;Trimestre 3;2.600,80
2008;Trimestre 4;3.206,80
2009;Trimestre 1;4.018,20
2009;Trimestre 2;4.139,60
2009;Trimestre 3;4.121,20
2009;Trimestre 4;4.335
2010;Trimestre 1;4.617,70
2010;Trimestre 2;4.655,40
2010;Trimestre 3;4.585,40
2010;Trimestre 4;4.702,20
2011;Trimestre 1;4.920,90
2011;Trimestre 2;4.844,30
2011;Trimestre 3;4.998,10
2011;Trimestre 4;5.287,30
2012;Trimestre 1;5.667,80
2012;Trimestre 2;5.731,10
2012;Trimestre 3;5.824,30
2012;Trimestre 4;6.021
2013;Trimestre 1;6.278,30
2013;Trimestre 2;6.047,30
2013;Trimestre 3;5.943,40
2013;Trimestre 4;5.935,60
2014;Trimestre 1;5.933,20
2014;Trimestre 2;5.622,70
2014;Trimestre 3;5.427,70
2014;Trimestre 4;5.457,80
2015;Trimestre 1;5.444,80
2015;Trimestre 2;5.149,10
2015;Trimestre 3;4.850,80
2015;Trimestre 4;4.779,60
2016;Trimestre 1;4.791,40
2016;Trimestre 2;4.574,70
2016;Trimestre 3;4.320,80
2016;Trimestre 4;4.237,60
2017;Trimestre 1;4.255,10
2017;Trimestre 2;3.914,30
2017;Trimestre 3;3.731,70
2017;Trimestre 4;3.766,70
2018;Trimestre 1;3.795,90
2018;Trimestre 2;3.490,10
2018;Trimestre 3;3.325,90
2018;Trimestre 4;3.304,10
2019;Trimestre 1;3.354,30
2019;Trimestre 2;3.230,70
2019;Trimestre 3;3.214,50
2019;Trimestre 4;3.191,80
2020;Trimestre 1;3.312,90
2020;Trimestre 2;3.368
2020;Trimestre 3;3.722,90
2020;Trimestre 4;3.719,80
2021;Trimestre 1;3.653,90
2021;Trimestre 2;3.543,90
;;
;;
"Métrica:""Personas en paro""";;
"Fuente:""INE""";;
"Clasificación:""""";;
"Unidad:""Número de personas""";;
"Escala:""Miles""";;
"EscalaFactorPotencia10:""3""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion-numero-parados/4de9666b-7e66-49aa-a9a8-f42b94966f4d/espana/106""";;
"Titulo:""Evolución del número de parados en España""";;
"Subtitulo:""Datos de la EPA  """;;